trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2548,False,"{'a': 0.05518163983466504, 'e': 0.006090026749685384}",20,12,18.448840789794755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2549,False,"{'a': 0.05512643057638511, 'e': 0.006077846696186014}",20,6,26.125876475391095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2550,False,"{'a': 0.05507127655499572, 'e': 0.006065691002793642}",20,11,15.088951165006149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2551,False,"{'a': 0.05501617771523234, 'e': 0.006053559620788055}",20,9,21.847460216983645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2552,False,"{'a': 0.05496113400188573, 'e': 0.006041452501546479}",35,23,21.43923944049641,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2553,False,"{'a': 0.05490614535980187, 'e': 0.006029369596543386}",20,8,20.752922994480837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2554,False,"{'a': 0.05485121173388195, 'e': 0.006017310857350299}",25,11,31.044033362456325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2555,False,"{'a': 0.05479633306908227, 'e': 0.006005276235635598}",20,14,11.381738460794148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2556,False,"{'a': 0.054741509310414195, 'e': 0.005993265683164327}",35,20,26.608023611517936,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2557,False,"{'a': 0.054686740402944106, 'e': 0.005981279151797999}",20,13,13.788533859818664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2558,False,"{'a': 0.05463202629179336, 'e': 0.005969316593494403}",25,19,10.988989174540462,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2559,False,"{'a': 0.05457736692213822, 'e': 0.005957377960307414}",25,14,18.636144037425577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2560,False,"{'a': 0.05452276223920978, 'e': 0.005945463204386799}",20,6,23.225533610095503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
